,silhoutte_score
res.0.1_0,0.248304269375274
res.0.1_1,0.174896318327711
res.0.1_2,0.18155745896758999
res.0.1_3,0.301689337656826
res.0.1_4,0.163624775255856
res.0.1_5,0.484161577880312
res.0.1_6,0.38865213328501597
res.0.3_0,0.14655683767976999
res.0.3_1,0.130735720662201
res.0.3_2,0.288160514938535
res.0.3_3,0.161086362627635
res.0.3_4,0.21679974200506102
res.0.3_5,0.150456094659437
res.0.3_6,0.37312168192114503
res.0.3_7,0.141560243584897
res.0.3_8,-0.0280583894781209
res.0.3_9,0.335270380035902
res.0.3_10,0.359333256793421
res.0.5_0,0.19342994487018697
res.0.5_1,0.0603837733819061
res.0.5_2,0.314573354688618
res.0.5_3,0.12433360609164501
res.0.5_4,0.0513619879651937
res.0.5_5,0.0287057088287461
res.0.5_6,0.160997176166923
res.0.5_7,0.5133161800547229
res.0.5_8,-0.0834487375593209
res.0.5_9,0.30928111212996395
res.0.5_10,0.198192176338862
res.0.5_11,0.0668450288458661
res.0.5_12,0.33073831749044297
res.0.5_13,0.330966119054489
res.0.5_14,0.717984195463909
res.0.2_0,0.247732173165502
res.0.2_1,0.181502369790766
res.0.2_2,0.157981057152883
res.0.2_3,0.30479669397765197
res.0.2_4,0.23137661197709103
res.0.2_5,0.16009635086304003
res.0.2_6,0.3795950542867179
res.0.2_7,0.483436632447368
res.0.4_0,0.141410264595145
res.0.4_1,0.29078921556265697
res.0.4_2,0.114577728461075
res.0.4_3,0.168678797793818
res.0.4_4,0.0293210462247995
res.0.4_5,0.170466154531227
res.0.4_6,0.135904701788293
res.0.4_7,0.5003157175278279
res.0.4_8,-0.0440497036148388
res.0.4_9,0.308766813959957
res.0.4_10,0.0740585415692109
res.0.4_11,0.330085131528935
res.0.4_12,0.362830972729969
res.0.4_13,0.7180179461844329
