"","res_cluster","top_genes"
"1","res.0.1_2","TSPAN7,RSPO3,RPL17,KCNIP4,EIF4A2"
"2","res.0.1_0","TTN,MYL3,FITM1,PDE4DIP,SLC8A1"
"3","res.0.1_1","FXYD5,IGFBP3,THY1,DCN,COL3A1"
"4","res.0.1_3","ZIC1,MAFB,NR2F1,WFIKKN1,RSPO3"
"5","res.0.1_5","MAP3K19,TEKT1,WDR16,RP11.613D13.5,CCDC65"
"6","res.0.1_4","S100A14,APOB,VIL1,FGA,FGB"
"7","res.0.1_6","CRABP2,WFDC2,TMEM54,SLC2A1,CD9"
"8","res.0.2_1","TSPAN7,RPL17,RSPO3,KCNIP4,EIF4A2"
"9","res.0.2_0","TTN,MYL3,FITM1,PDE4DIP,SLC8A1"
"10","res.0.2_2","COL6A3,FBN1,EMILIN1,LOX,COL14A1"
"11","res.0.2_3","MAFB,NR2F1,WFIKKN1,RSPO3,GPR98"
"12","res.0.2_7","MAP3K19,TEKT1,WDR16,RP11.613D13.5,CCDC65"
"13","res.0.2_4","MME,SBSPON,SMOC2,BNC1,CAPN6"
"14","res.0.2_5","S100A14,APOB,FGA,VIL1,FGB"
"15","res.0.2_6","CRABP2,WFDC2,TMEM54,SLC2A1,STAP2"
"16","res.0.3_2","RPL17,EIF4A2,TSPAN7,RPSAP58,COX6A1P2"
"17","res.0.3_0","TECRL,NREP,PDE4DIP,TTN,FITM1"
"18","res.0.3_7","SOX4,LMO4,LBH,NAV2.AS2,NA"
"19","res.0.3_1","COL6A3,FBN1,EMILIN1,LOX,COL14A1"
"20","res.0.3_3","NPPA,TCAP,CRYAB,TPM1,MYH7"
"21","res.0.3_8","RSPO3,EIF4A2,ENO2,ZFP36L1,FAM162A"
"22","res.0.3_9","MAP3K19,WDR16,TEKT1,FAM81B,PTPRC"
"23","res.0.3_4","MME,SBSPON,SMOC2,BNC1,CAPN6"
"24","res.0.3_5","S100A14,APOB,FGA,VIL1,FGB"
"25","res.0.3_6","RIPPLY3,MMRN1,ZIC4,SOX2,NEFM"
"26","res.0.3_10","WFDC2,CRABP2,TMEM54,SLC2A1,STAP2"
"27","res.0.4_1","RPL17,EIF4A2,TSPAN7,RPSAP58,COX6A1P2"
"28","res.0.4_0","TECRL,NREP,TTN,PDE4DIP,SLC8A1"
"29","res.0.4_6","SOX4,LMO4,LBH,BAMBI,NAV2.AS2"
"30","res.0.4_10","DYNC1I2,SOX4,MSX2,PLIN2,MSX1"
"31","res.0.4_2","COL6A3,FBN1,COL14A1,LOX,EMILIN1"
"32","res.0.4_3","NPPA,TCAP,TPM1,CRYAB,MYH7"
"33","res.0.4_8","RSPO3,ENO2,ZFP36L1,PEG10,FAM162A"
"34","res.0.4_9","MAP3K19,WDR16,TEKT1,FAM81B,PTPRC"
"35","res.0.4_12","ITLN1,ALDH1A2,FXYD7,SFRP5,OLFML1"
"36","res.0.4_13","LGI4,LEAP2,TMEM176B,HPN,GPX3"
"37","res.0.4_7","CYP26A1,RIPPLY3,MMRN1,SOX2,NEFM"
"38","res.0.4_4","S100A14,APOB,ASGR2,VIL1,FGA"
"39","res.0.4_11","CRABP2,WFDC2,TMEM54,SLC2A1,SRCAP"
"40","res.0.4_5","MME,BDKRB1,MFAP5,OLR1,CAPN6"
"41","res.0.5_2","RPL17,TSPAN7,EIF4A2,COX6A1P2,RSPO3"
"42","res.0.5_0","TECRL,NREP,FHL2,PDE4DIP,FITM1"
"43","res.0.5_4","HAPLN1,LBH,NPW,NA,NA"
"44","res.0.5_11","DYNC1I2,SOX4,MSX2,PLIN2,MSX1"
"45","res.0.5_10","COLEC10,WISP1,FOXF1,TEK,SPON2"
"46","res.0.5_1","NPPA,CRYAB,ACTC1,CSRP3,MYL3"
"47","res.0.5_8","RSPO3,ZFP36L1,EIF4A2,FAM162A,COL2A1"
"48","res.0.5_3","COL6A3,COL14A1,EMILIN1,FBN1,MFAP4"
"49","res.0.5_9","MAP3K19,WDR16,TEKT1,FAM81B,PTPRC"
"50","res.0.5_13","ITLN1,ALDH1A2,FXYD7,SFRP5,OLFML1"
"51","res.0.5_14","LGI4,LEAP2,TMEM176B,HPN,GPX3"
"52","res.0.5_7","CYP26A1,RIPPLY3,MMRN1,SOX2,NEFM"
"53","res.0.5_5","S100A14,APOB,ASGR2,VIL1,FGA"
"54","res.0.5_12","CRABP2,WFDC2,TMEM54,SLC2A1,SRCAP"
"55","res.0.5_6","MME,BDKRB1,MFAP5,OLR1,CAPN6"
